,text
0,"<|endoftext|>A gold coin is worth 50 dollars and a silver coin is worth 25 dollars. If you have 3 gold coins, 5 silver coins, and 30 dollars cash, how much money do you have in dollars?: 3 gold coins at 50 dollars a coin gives you 50*3=<<50*3=150>>150 dollars
5 silver coins at 25 dollars a coin give you 25*5=<<5*25=125>>125 dollars
You have 30+125+150=<<30+125+150=305>>305 dollars
#### 305<|endoftext|>"
1,"<|endoftext|>There's a sale at your favorite ""Any item $10"" retailer. If you buy 1 shirt you pay $10. If you buy 2, you get the second one at a 50% discount. If you buy 3, you get the third one at a 60% discount. How much money did you save if you bought 3 shirts?: The first shirt has no (0%) discount off the regular price ($10), therefore your discount is = 0% * $10 = $<<0*.01*10=0>>0
The second shirt has a 50% discount off the regular price ($10), therefore your discount is = 50% * $10 = $<<50*.01*10=5>>5
The third shirt has a 60% discount of the regular price ($10), therefore your discount is = 60% * $10 = $<<60*.01*10=6>>6
Therefore in total, you save $0 on the first shirt, $5 on the second one and $6 on the third one = 0+5+6 = $<<0+5+6=11>>11
#### 11<|endoftext|>"
2,"<|endoftext|>Harry wants to build a homemade helium balloon with his son, Kevin, so he and Kevin go to the store with $200. They buy a giant sheet to turn into a balloon for $42, a rope for $18, and a propane tank and burner for $14. They plan to use the rest of the money on helium. The helium is $1.50 per ounce. For every ounce they buy, the balloon can fly 113 feet higher. How many feet up can they fly the balloon?: They have $126 for helium because 200 - 42 - 18 - 14 = <<200-42-18-14=126>>126.
They can buy 84 ounces of helium because 126 / 1.5 = <<126/1.5=84>>84
They can fly 9,492 feet up because 84 x 113 = <<84*113=9492>>9,492
#### 9,492<|endoftext|>"
3,"<|endoftext|>Edward had $17.80 to spend at the toy store. He bought 4 toy cars that cost $0.95 each and a race track that cost $6.00. How much money does Edward have left to buy more toys?: The cost of the toy cars is 4 × $0.95 = $<<4*0.95=3.80>>3.80.
The total cost of the toys is $3.80 + $6.00 = $<<3.80+6=9.80>>9.80.
Edward has $17.80 − $9.80 = $8.00 left.
#### 8<|endoftext|>"
4,"<|endoftext|>John buys 30 ducks for $10 each.  They weigh 4 pounds and he sells them for $5 per pound.  How much profit did he make?: He bought the ducks for 30*10=$<<30*10=300>>300
He sold each duck for 4*5=$<<4*5=20>>20
So he sold all the ducks for 30*20=$<<30*20=600>>600
So he made a profit of 600-300=$<<600-300=300>>300
#### 300<|endoftext|>"
5,"<|endoftext|>Lola plays basketball on her school team. Her team scored twice at many points at their last home game than their first away game. At the second away game, they scored eighteen points more than the previous away game. At the third away game, they scored two more points than at their second. If Lola’s team scored 62 points at their last home game, how many points do they have to score in their next game to bring their cumulative points up to four times the score from their last home game?: At their following away game, Lola’s team scored half as many points as at their home game, so they scored 62 / 2 = <<62/2=31>>31 points.
At the second away game, they scored 31 + 18 = <<31+18=49>>49 points.
At the third away game, they scored 49 + 2 = <<49+2=51>>51 points.
A cumulative score of four times their last home game is 4 * 62 = <<4*62=248>>248 points.
Thus, Lola’s team has to score 248 - 193 = <<248-193=55>>55 points to bring their cumulative points up to 248.
#### 55<|endoftext|>"
6,"<|endoftext|>In one of the building blocks at Oakland High there are 5 classes. Each class uses 2 whiteboards each and each whiteboard needs about 20ml of ink for a day's use. If ink costs 50 cents per ml, how much (in dollars) would it cost to use the boards for one day?: Each ml of ink costs 50 cents so 20 ml costs 20*50 = <<20*50=1000>>1000 cents
There are 2 whiteboards in each class so each class needs 2*1000 cents = <<2*1000=2000>>2000 cents
There are five classes in the block so they all need 5*1*2000 cents = <<5*1*2000=10000>>10000 cents
100 cents make a dollar so 10000 cents make 10000/100 = $<<10000/100=100>>100
#### 100<|endoftext|>"
7,"<|endoftext|>Donny has $78 in his piggy bank. If Donny buys a kite for $8 and a frisbee for $9. How much money does Donny have left?: Donny has 78 - 8 = <<78-8=70>>70 after paying for the kite.
He has 70 - 9 = $<<70-9=61>>61 left after buying the frisbee as well as the kite.
#### 61<|endoftext|>"
8,"<|endoftext|>Matt skips ropes 3 times per second.  If he jumped for 10 minutes how many skips hops did he get?: He was skipping rope for 10*60=<<10*60=600>>600 seconds
So he got 600*3=<<600*3=1800>>1800 skips
#### 1800<|endoftext|>"
9,"<|endoftext|>James buys 2 notebooks with 50 pages each.  He pays $5.  How many cents did each page cost?: He bought 2*50=<<2*50=100>>100 pages
It cost 5*100=<<5*100=500>>500 cents
So he spent 500/100=<<500/100=5>>5 cents per page
#### 5<|endoftext|>"
